Average Fitness (Memory Length: 3),Diversity
6.78,0.98
7.14,0.95
7.23,0.91
7.25,0.82
7.25,0.84
7.25,0.85
7.26,0.84
7.25,0.83
7.25,0.84
7.25,0.82
7.25,0.84
7.25,0.84
7.25,0.84
7.25,0.84
7.26,0.83
7.25,0.84
7.25,0.83
7.26,0.83
7.25,0.84
7.25,0.84
7.25,0.85
7.25,0.85
7.25,0.86
7.26,0.84
7.25,0.87
7.25,0.82
7.25,0.85
7.25,0.86
7.25,0.85
7.26,0.85
7.26,0.85
7.26,0.83
7.25,0.83
7.25,0.85
7.25,0.84
7.25,0.85
7.26,0.86
7.25,0.84
7.25,0.85
7.25,0.86
7.25,0.84
7.25,0.87
7.25,0.85
7.26,0.87
7.25,0.85
7.25,0.86
7.25,0.86
7.26,0.85
7.25,0.84
7.25,0.86
